District,Type,Soil_Type,pH,Organic_Carbon,Available_N,Available_P,Available_K
Bishnupur,Maximum,Alluvial,6.12,3.21,712.4,71.3,213.57
Bishnupur,Minimum,Alluvial,5.9,0.58,125.0,8.6,83.6
Bishnupur,Average,Alluvial,5.41,2.2,268.95,49.95,154.63
Chandel,Maximum,Red Ferruginous,6.34,3.03,439.0,90.7,431.0
Chandel,Minimum,Red Ferruginous,4.67,1.25,188.0,1.6,43.0
Chandel,Average,Red Ferruginous,5.38,2.35,341.9,18.83,190.67
Churachandpur,Maximum,Red & Laterite,6.42,3.78,631.0,58.0,627.0
Churachandpur,Minimum,Red & Laterite,4.88,0.8,23.0,7.1,112.0
Churachandpur,Average,Red & Laterite,5.43,2.09,443.43,14.14,418.43
Imphal East,Maximum,Alluvial,6.84,2.7,924.0,47.0,401.0
Imphal East,Minimum,Alluvial,5.14,0.27,216.0,1.5,22.0
Imphal East,Average,Alluvial,5.56,1.15,474.17,11.2,94.08
Imphal West,Maximum,Alluvial,6.89,3.6,942.0,35.0,902.0
Imphal West,Minimum,Alluvial,4.06,0.34,112.0,4.8,12.5
Imphal West,Average,Alluvial,5.37,1.31,378.13,10.86,179.95
Senapati,Maximum,Brown Forest,6.49,6.9,674.0,294.8,1276.0
Senapati,Minimum,Brown Forest,4.62,0.63,35.0,4.7,19.0
Senapati,Average,Brown Forest,5.51,3.39,262.19,25.35,361.43
Tamenglong,Maximum,Laterite,5.66,2.41,251.0,30.1,624.0
Tamenglong,Minimum,Laterite,4.61,1.09,63.0,21.6,97.0
Tamenglong,Average,Laterite,5.01,1.62,148.0,27.04,381.0
Thoubal,Maximum,Alluvial,6.6,4.29,407.68,140.83,401.0
Thoubal,Minimum,Alluvial,4.81,1.01,212.0,5.7,150.08
Thoubal,Average,Alluvial,5.34,2.54,282.84,63.4,301.65
Ukhrul,Maximum,Red Ferruginous,6.12,4.05,924.0,73.6,978.0
Ukhrul,Minimum,Red Ferruginous,4.53,0.36,94.0,2.3,88.0
Ukhrul,Average,Red Ferruginous,5.39,1.7,429.67,11.34,330.54
